datetime,old_best_asset,old_asset_quantity,old_cash,new_best_asset,new_asset_quantity,SPY_price,SPY_return,VEU_price,VEU_return,AGG_price,AGG_return,portfolio_value,cash,return
2023-01-03 15:55:00-05:00,,0,,AGG,1031,382.42999267578125,0.0,50.13999938964844,0.0,96.98999786376953,0.0,100000.0,-1007.0712585449219,
2023-01-04 15:55:00-05:00,AGG,1031,,AGG,1031,,,,,,,100000.0,-1007.0712585449219,0.0
2023-01-05 15:55:00-05:00,AGG,1031,,VEU,1950,383.760009765625,0.007720189025949065,51.369998931884766,0.017227701621480573,98.0999984741211,0.005535064873315676,100206.1968536377,346.26751708984375,0.002061968536376968
2023-01-06 15:55:00-05:00,VEU,1950,,VEU,1950,,,,,,,99659.76811218262,346.26751708984375,-0.005453043410610592
2023-01-09 15:55:00-05:00,VEU,1950,,VEU,1950,388.0799865722656,0.0,52.18000030517578,0.0,99.08999633789062,0.0,100342.26513671875,346.26751708984375,0.006848270244496968
2023-01-10 15:55:00-05:00,VEU,1950,,VEU,1950,,,,,,,102974.76959991455,346.26751708984375,0.026235250515911135
2023-01-11 15:55:00-05:00,VEU,1950,,SPY,262,390.5799865722656,0.007012843096556365,52.650001525878906,0.0038131698766488142,98.95999908447266,-0.003825219120458412,102682.26662445068,483.50553131103516,-0.0028405305163616834
2023-01-12 15:55:00-05:00,SPY,262,,SPY,262,,,,,,,103247.768409729,483.50553131103516,0.005507297451336823
2023-01-13 15:55:00-05:00,SPY,262,,VEU,1949,396.9599914550781,0.01633469481834826,53.560001373291016,0.017283947218212692,100.29000091552734,0.013439792273233442,104411.04904937744,-464.6587219238281,0.011266884094115026
2023-01-17 15:55:00-05:00,VEU,1949,,VEU,1949,,,,,,,103611.94425201416,-464.6587219238281,-0.007653450517343008
2023-01-18 15:55:00-05:00,VEU,1949,,VEU,1949,397.7699890136719,0.0,53.939998626708984,0.0,99.73999786376953,0.0,104664.39860153198,-464.6587219238281,0.010157654671144378
